data,open,high,low,close
3705,2773.4 ,2777.4 ,2773.4 ,2775.6 
3706,2775.8 ,2776.3 ,2773.8 ,2775.4 
3707,2775.7 ,2779.2 ,2774.2 ,2774.7 
3708,2774.5 ,2774.7 ,2768.4 ,2770.1 
3709,2769.9 ,2770.6 ,2768.7 ,2769.2 
3710,2769.1 ,2769.7 ,2767.3 ,2768.1 
3711,2768.4 ,2771.3 ,2766.8 ,2770.5 
3712,2770.5 ,2771.7 ,2769.3 ,2770.0 
3713,2770.2 ,2770.2 ,2765.3 ,2765.5 
3714,2765.5 ,2765.8 ,2762.1 ,2762.6 
3715,2762.6 ,2768.0 ,2762.6 ,2766.4 
3716,2766.1 ,2767.4 ,2765.0 ,2765.6 
3717,2765.8 ,2766.8 ,2765.3 ,2766.5 
3718,2766.5 ,2767.3 ,2764.5 ,2765.5 
3719,2765.6 ,2767.9 ,2764.0 ,2766.0 
3720,2766.0 ,2767.7 ,2764.8 ,2766.7 
3721,2766.9 ,2767.0 ,2764.8 ,2764.8 
3722,2764.6 ,2765.0 ,2762.4 ,2763.0 
3723,2762.9 ,2766.9 ,2761.2 ,2766.9 
3724,2767.4 ,2774.0 ,2767.3 ,2770.4 
3725,2770.6 ,2771.1 ,2767.8 ,2768.8 
3726,2768.8 ,2769.2 ,2767.1 ,2767.2 
3727,2767.1 ,2767.6 ,2763.3 ,2765.6 
3728,2765.3 ,2766.7 ,2762.6 ,2766.0 
3729,2765.5 ,2766.0 ,2761.4 ,2762.4 
3730,2762.3 ,2762.4 ,2756.4 ,2760.5 
3731,2760.3 ,2764.4 ,2759.3 ,2762.0 
3732,2761.8 ,2763.9 ,2760.7 ,2763.6 
3733,2764.4 ,2769.0 ,2762.9 ,2766.7 
3734,2766.9 ,2767.8 ,2764.8 ,2766.1 
3735,2766.2 ,2766.2 ,2763.3 ,2764.9 
3736,2764.8 ,2766.3 ,2763.8 ,2766.1 
3737,2765.9 ,2767.0 ,2762.7 ,2764.7 
3738,2764.5 ,2764.7 ,2761.8 ,2762.6 
3739,2762.6 ,2764.2 ,2758.5 ,2758.9 
3740,2758.9 ,2761.6 ,2756.4 ,2761.1 
3741,2761.2 ,2761.2 ,2754.6 ,2754.6 
3742,2754.6 ,2756.7 ,2750.6 ,2752.5 
3743,2752.5 ,2753.1 ,2748.2 ,2752.4 
3744,2752.5 ,2753.0 ,2748.8 ,2749.8 
3745,2749.4 ,2751.6 ,2745.7 ,2747.8 
3746,2747.6 ,2748.9 ,2742.5 ,2744.3 
3747,2744.3 ,2744.6 ,2736.5 ,2738.0 
3748,2738.0 ,2740.3 ,2735.6 ,2739.1 
3749,2738.9 ,2739.3 ,2729.7 ,2731.5 
3750,2731.5 ,2731.5 ,2720.8 ,2722.6 
3751,2722.2 ,2723.7 ,2720.1 ,2722.2 
3752,2722.2 ,2723.7 ,2715.0 ,2722.4 
3753,2722.4 ,2728.1 ,2722.4 ,2726.7 
3754,2726.7 ,2726.7 ,2721.3 ,2722.7 
3755,2722.9 ,2724.0 ,2719.9 ,2720.1 
3756,2720.0 ,2727.1 ,2720.0 ,2724.7 
3757,2724.7 ,2725.0 ,2723.1 ,2724.7 
3758,2724.6 ,2726.6 ,2724.4 ,2725.5 
3759,2725.5 ,2726.2 ,2724.8 ,2725.3 
3760,2725.4 ,2728.6 ,2725.4 ,2727.8 
3761,2746.2 ,2758.1 ,2741.2 ,2747.0 
3762,2747.0 ,2747.0 ,2741.2 ,2741.2 
3763,2740.9 ,2742.3 ,2739.0 ,2740.8 
3764,2741.2 ,2742.9 ,2738.5 ,2741.1 
3765,2741.1 ,2742.7 ,2740.3 ,2740.9 
3766,2740.9 ,2741.4 ,2734.3 ,2734.9 
3767,2735.1 ,2736.0 ,2730.1 ,2730.1 
3768,2730.1 ,2731.9 ,2728.0 ,2731.5 
3769,2731.5 ,2734.1 ,2730.5 ,2731.7 
3770,2731.7 ,2735.3 ,2728.0 ,2732.6 
3771,2732.9 ,2741.9 ,2730.0 ,2740.8 
3772,2740.8 ,2745.5 ,2739.8 ,2742.8 
